idx,Vin,Vref,P,D1,D2,D0,Validity,ipk2pk,irms,vp_t1,vp_t2,vp_t3,vp_t4,vs_t1,vs_t2,vs_t3,vs_t4,Vo
146,200,160,100,0.72,1,-0.118468195,1,7.328825231,1.787924431,1,1,1,1,1,1,1,1,159.9123148
147,200,160,100,0.74,0.6,0.077677145,1,10.4826471,3.296392336,1,1,1,1,0,0,0,0,160.1266574
148,200,160,100,0.74,0.62,0.059428194,1,9.859113577,3.066057582,1,1,1,1,0,0,0,0,160.0557333
149,200,160,100,0.74,0.64,0.058027962,1,9.19280396,2.905413774,1,1,1,1,0,0,0,0,160.0543381
150,200,160,100,0.74,0.66,0.041368083,1,8.549930732,2.783547121,1,1,1,1,0,0,0,0,159.8740186
151,200,160,100,0.74,0.68,0.037259567,1,7.891304112,2.586171489,1,1,1,1,0,0,0,0,160.1048052
152,200,160,100,0.74,0.7,0.01940841,1,7.276080277,2.42177523,1,1,1,1,0,0,0,0,160.0192521
153,200,160,100,0.74,0.72,0.001668483,1,7.259766413,2.316639233,1,1,1,1,0,0,0,0,160.0297538
154,200,160,100,0.74,0.74,-0.001274394,1,6.623117924,2.12776989,1,1,1,1,0,0,0,0,160.0916298
155,200,160,100,0.74,0.76,-0.017137484,1,7.279139531,2.102687423,1,1,1,1,0,0,0,0,159.8937335
156,200,160,100,0.74,0.78,-0.019592977,1,7.562078,2.066659715,1,1,1,1,0,0,1,0,159.9879445
157,200,160,100,0.74,0.8,-0.039892976,1,7.229495325,1.926560285,1,1,1,1,0,0,1,0,160.1738743
158,200,160,100,0.74,0.82,-0.040549168,1,6.941772686,1.836163416,1,1,1,1,0,0,1,0,160.031406
159,200,160,100,0.74,0.84,-0.057866404,1,7.247608228,1.832754067,1,1,1,1,0,0,1,0,159.973458
160,200,160,100,0.74,0.86,-0.059243457,1,7.547320866,1.866405979,1,1,1,1,0,0,1,0,159.958835
161,200,160,100,0.74,0.88,-0.077593272,1,7.242894852,1.781315896,1,1,1,1,0,0,0,0,159.9659041
162,200,160,100,0.74,0.9,-0.07883548,1,7.545743365,1.837097549,1,1,1,1,0,0,0,0,159.9319211
163,200,160,100,0.74,0.92,-0.099467957,1,7.154464786,1.742294446,1,1,1,1,0,1,1,0,160.5021841
164,200,160,100,0.74,0.94,-0.100087412,1,6.247035333,1.639679283,1,1,1,1,1,1,1,1,160.4890507
165,200,160,100,0.74,0.96,-0.098079026,1,7.316455044,1.78449999,1,1,1,1,1,1,1,1,159.9886133
166,200,160,100,0.74,0.98,-0.09955495,1,7.478560527,1.829743102,1,1,1,1,1,1,1,1,160.0048818
167,200,160,100,0.74,1,-0.105903104,1,7.261605999,1.790070166,1,1,1,1,1,1,1,1,159.4255147
168,200,160,100,0.76,0.6,0.08062564,1,11.28015336,3.479166768,1,1,1,1,0,0,0,0,159.98124
169,200,160,100,0.76,0.62,0.080322994,1,10.62686493,3.338628906,1,1,1,1,0,0,0,0,159.8760827
170,200,160,100,0.76,0.64,0.061419946,1,9.995906392,3.097541444,1,1,1,1,0,0,0,0,159.8766044
171,200,160,100,0.76,0.66,0.058523339,1,9.355322844,2.902654776,1,1,1,1,0,0,0,0,159.9837068
172,200,160,100,0.76,0.68,0.039357887,1,8.721064185,2.724728518,1,1,1,1,0,0,0,0,160.0418576
173,200,160,100,0.76,0.7,0.023848391,1,8.005743189,2.580439438,1,1,1,1,0,0,0,0,160.3838577
174,200,160,100,0.76,0.72,0.018574562,1,7.416306981,2.430971456,1,1,1,1,0,0,0,0,160.1229273
175,200,160,100,0.76,0.74,0.000234323,1,7.396808841,2.332761635,1,1,1,1,0,0,0,0,160.1548551
176,200,160,100,0.76,0.76,0.001560027,1,8.065288004,2.344424386,1,1,1,1,0,0,0,0,159.8678495
177,200,160,100,0.76,0.78,-0.017522697,1,7.430729456,2.137703582,1,1,1,1,0,0,0,0,159.9295997
178,200,160,100,0.76,0.8,-0.020141509,1,6.796979179,1.976751948,1,1,1,1,0,0,1,0,159.9802482
179,200,160,100,0.76,0.82,-0.036759827,1,7.114141287,1.952323138,1,1,1,1,0,0,1,0,159.8395498
180,200,160,100,0.76,0.84,-0.038872406,1,7.721273049,1.997545247,1,1,1,1,0,0,1,0,159.9104316
181,200,160,100,0.76,0.86,-0.057552817,1,7.412275761,1.894219962,1,1,1,1,0,0,1,0,159.9303262
182,200,160,100,0.76,0.88,-0.059724383,1,7.700709373,1.927068259,1,1,1,1,0,0,1,0,159.9945272
183,200,160,100,0.76,0.9,-0.079141364,1,7.381326207,1.839506706,1,1,1,1,0,0,0,0,160.110163
184,200,160,100,0.76,0.92,-0.078964136,1,7.704971577,1.902407714,1,1,1,1,0,0,0,0,159.9349845
185,200,160,100,0.76,0.94,-0.098731912,1,7.37700329,1.825767117,1,1,1,1,0,0,0,0,160.1203905
186,200,160,100,0.76,0.96,-0.098436523,1,7.611113312,1.871725331,1,1,1,1,1,1,1,1,160.0374624
187,200,160,100,0.76,0.98,-0.097666327,1,7.354081158,1.832528367,1,1,1,1,1,1,1,1,159.9042713
188,200,160,100,0.76,1,-0.099120868,1,7.640511006,1.896598037,1,1,1,1,1,1,1,1,159.965642
189,200,160,100,0.78,0.6,0.097721878,1,12.08124689,3.61165007,1,1,1,1,0,0,0,0,160.1129743
190,200,160,100,0.78,0.62,0.080173633,1,11.42618733,3.451306148,1,1,1,1,0,0,0,0,160.0216582
191,200,160,100,0.78,0.64,0.077937238,1,10.79150312,3.215810685,1,1,1,1,0,0,0,0,160.0520281
192,200,160,100,0.78,0.66,0.060286644,1,10.1346173,3.078368892,1,1,1,1,0,0,0,0,159.9798088
193,200,160,100,0.78,0.68,0.056894122,1,9.487401201,2.886505991,1,1,1,1,0,0,0,0,160.136877
194,200,160,100,0.78,0.7,0.039884047,1,8.882490284,2.724679894,1,1,1,1,0,0,0,0,159.9889525
195,200,160,100,0.78,0.72,0.020568436,1,8.195047114,2.597982905,1,1,1,1,0,0,0,0,160.1316362
196,200,160,100,0.78,0.74,0.020041405,1,7.87215799,2.521775131,1,1,1,1,0,0,0,0,160.0066205
197,200,160,100,0.78,0.76,0.002733085,1,7.58955176,2.365998575,1,1,1,1,0,0,0,0,159.898233
198,200,160,100,0.78,0.78,-0.000273756,1,6.953474983,2.189696475,1,1,1,1,0,0,0,0,159.9667031
199,200,160,100,0.78,0.8,-0.017054053,1,7.279153641,2.138761039,1,1,1,1,0,0,1,0,159.8470457
200,200,160,100,0.78,0.82,-0.019274388,1,7.881332815,2.155108844,1,1,1,1,0,0,1,0,159.9442286
201,200,160,100,0.78,0.84,-0.037291403,1,7.582648915,2.037856366,1,1,1,1,0,0,1,0,159.9075241
202,200,160,100,0.78,0.86,-0.041133802,1,7.252806581,1.943215026,1,1,1,1,0,0,1,0,160.0635722
203,200,160,100,0.78,0.88,-0.056783381,1,7.261995146,1.914846912,1,1,1,1,0,0,1,0,159.8448242
204,200,160,100,0.78,0.9,-0.05898177,1,7.870785013,1.9926198,1,1,1,1,0,0,1,0,159.9137846
205,200,160,100,0.78,0.92,-0.079479364,1,7.535472949,1.902633298,1,1,1,1,0,0,0,0,160.1402782
206,200,160,100,0.78,0.94,-0.078684946,1,7.870436304,1.97001599,1,1,1,1,0,0,0,0,159.8941035
207,200,160,100,0.78,0.96,-0.096683832,1,7.252659271,1.860297477,1,1,1,1,0,0,0,0,159.8638075
208,200,160,100,0.78,0.98,-0.100130905,1,6.996687892,1.822415977,1,1,1,1,1,1,1,1,160.0883104
209,200,160,100,0.78,1,-0.099227315,1,7.633117985,1.917585852,1,1,1,1,1,1,1,1,160.0009998
210,200,160,100,0.8,0.6,0.09966101,1,12.90240881,3.713958099,1,1,1,1,0,0,0,0,160.0325027
211,200,160,100,0.8,0.62,0.097496035,1,12.23065295,3.574252711,1,1,1,1,0,0,0,0,160.1204365
212,200,160,100,0.8,0.64,0.081530934,1,11.59366477,3.385083521,1,1,1,1,0,0,0,0,159.8570025
213,200,160,100,0.8,0.66,0.079258439,1,10.96280341,3.19677148,1,1,1,1,0,0,0,0,159.9041366
214,200,160,100,0.8,0.68,0.059953473,1,10.32774873,3.020127133,1,1,1,1,0,0,0,0,159.9823785
215,200,160,100,0.8,0.7,0.041173393,1,9.612768465,2.865285655,1,1,1,1,0,0,0,0,160.3275165
216,200,160,100,0.8,0.72,0.039057363,1,9.024044632,2.715021549,1,1,1,1,0,0,0,0,160.0740395
217,200,160,100,0.8,0.74,0.020655616,1,8.352840613,2.602223599,1,1,1,1,0,0,0,0,160.1020748
218,200,160,100,0.8,0.76,0.020333217,1,8.031900867,2.535364535,1,1,1,1,0,0,0,0,159.9679444
219,200,160,100,0.8,0.78,0.001504957,1,7.726592628,2.378195393,1,1,1,1,0,0,0,0,160.0182364
220,200,160,100,0.8,0.8,-0.001489846,1,7.09218887,2.208637755,1,1,1,1,0,0,0,0,160.0800347
221,200,160,100,0.8,0.82,-0.017998361,1,7.737246913,2.204190192,1,1,1,1,0,0,0,0,159.9696083
222,200,160,100,0.8,0.84,-0.020998937,1,7.100902109,2.054730439,1,1,1,1,0,0,1,0,160.0455748
223,200,160,100,0.8,0.86,-0.038362413,1,7.726491063,2.080309033,1,1,1,1,0,0,1,0,159.9954529
